_id,Schedule,CollectionDate,Organics,Garbage,Recycling,YardWaste,ChristmasTree
1,Tuesday1,2024-01-02,T,T,0,0,T
2,Tuesday1,2024-01-09,T,0,T,0,0
3,Tuesday1,2024-01-16,T,T,0,0,T
4,Tuesday1,2024-01-23,T,0,T,0,0
5,Tuesday1,2024-01-30,T,T,0,0,0
6,Tuesday1,2024-02-06,T,0,T,0,0
7,Tuesday1,2024-02-13,T,T,0,0,0
8,Tuesday1,2024-02-20,T,0,T,0,0
9,Tuesday1,2024-02-27,T,T,0,0,0
10,Tuesday1,2024-03-05,T,0,T,0,0
11,Tuesday1,2024-03-12,T,T,0,T,0
12,Tuesday1,2024-03-19,T,0,T,0,0
13,Tuesday1,2024-03-26,T,T,0,T,0
14,Tuesday1,2024-04-02,T,0,T,0,0
15,Tuesday1,2024-04-09,T,T,0,T,0
16,Tuesday1,2024-04-16,T,0,T,0,0
17,Tuesday1,2024-04-23,T,T,0,T,0
18,Tuesday1,2024-04-30,T,0,T,0,0
19,Tuesday1,2024-05-07,T,T,0,T,0
20,Tuesday1,2024-05-14,T,0,T,0,0
21,Tuesday1,2024-05-21,T,T,0,T,0
22,Tuesday1,2024-05-28,T,0,T,0,0
23,Tuesday1,2024-06-04,T,T,0,T,0
24,Tuesday1,2024-06-11,T,0,T,0,0
25,Tuesday1,2024-06-18,T,T,0,T,0
26,Tuesday1,2024-06-25,T,0,T,0,0
27,Tuesday1,2024-07-02,T,T,0,T,0
28,Tuesday1,2024-07-09,T,0,T,0,0
29,Tuesday1,2024-07-16,T,T,0,T,0
30,Tuesday1,2024-07-23,T,0,T,0,0
31,Tuesday1,2024-07-30,T,T,0,T,0
32,Tuesday1,2024-08-06,T,0,T,0,0
33,Tuesday1,2024-08-13,T,T,0,T,0
34,Tuesday1,2024-08-20,T,0,T,0,0
35,Tuesday1,2024-08-27,T,T,0,T,0
36,Tuesday1,2024-09-03,T,0,T,0,0
37,Tuesday1,2024-09-10,T,T,0,T,0
38,Tuesday1,2024-09-17,T,0,T,0,0
39,Tuesday1,2024-09-24,T,T,0,T,0
40,Tuesday1,2024-10-01,T,0,T,0,0
41,Tuesday1,2024-10-08,T,T,0,T,0
42,Tuesday1,2024-10-15,T,0,T,0,0
43,Tuesday1,2024-10-22,T,T,0,T,0
44,Tuesday1,2024-10-29,T,0,T,0,0
45,Tuesday1,2024-11-05,T,T,0,T,0
46,Tuesday1,2024-11-12,T,0,T,0,0
47,Tuesday1,2024-11-19,T,T,0,T,0
48,Tuesday1,2024-11-26,T,0,T,0,0
49,Tuesday1,2024-12-03,T,T,0,T,0
50,Tuesday1,2024-12-10,T,0,T,0,0
51,Tuesday1,2024-12-17,T,T,0,0,0
52,Tuesday1,2024-12-24,T,0,T,0,0
53,Tuesday1,2024-12-31,T,T,0,0,0
54,Tuesday2,2024-01-02,T,0,T,0,0
55,Tuesday2,2024-01-09,T,T,0,0,T
56,Tuesday2,2024-01-16,T,0,T,0,0
57,Tuesday2,2024-01-23,T,T,0,0,T
58,Tuesday2,2024-01-30,T,0,T,0,0
59,Tuesday2,2024-02-06,T,T,0,0,0
60,Tuesday2,2024-02-13,T,0,T,0,0
61,Tuesday2,2024-02-20,T,T,0,0,0
62,Tuesday2,2024-02-27,T,0,T,0,0
63,Tuesday2,2024-03-05,T,T,0,0,0
64,Tuesday2,2024-03-12,T,0,T,0,0
65,Tuesday2,2024-03-19,T,T,0,T,0
66,Tuesday2,2024-03-26,T,0,T,0,0
67,Tuesday2,2024-04-02,T,T,0,T,0
68,Tuesday2,2024-04-09,T,0,T,0,0
69,Tuesday2,2024-04-16,T,T,0,T,0
70,Tuesday2,2024-04-23,T,0,T,0,0
71,Tuesday2,2024-04-30,T,T,0,T,0
72,Tuesday2,2024-05-07,T,0,T,0,0
73,Tuesday2,2024-05-14,T,T,0,T,0
74,Tuesday2,2024-05-21,T,0,T,0,0
75,Tuesday2,2024-05-28,T,T,0,T,0
76,Tuesday2,2024-06-04,T,0,T,0,0
77,Tuesday2,2024-06-11,T,T,0,T,0
78,Tuesday2,2024-06-18,T,0,T,0,0
79,Tuesday2,2024-06-25,T,T,0,T,0
80,Tuesday2,2024-07-02,T,0,T,0,0
81,Tuesday2,2024-07-09,T,T,0,T,0
82,Tuesday2,2024-07-16,T,0,T,0,0
83,Tuesday2,2024-07-23,T,T,0,T,0
84,Tuesday2,2024-07-30,T,0,T,0,0
85,Tuesday2,2024-08-06,T,T,0,T,0
86,Tuesday2,2024-08-13,T,0,T,0,0
87,Tuesday2,2024-08-20,T,T,0,T,0
88,Tuesday2,2024-08-27,T,0,T,0,0
89,Tuesday2,2024-09-03,T,T,0,T,0
90,Tuesday2,2024-09-10,T,0,T,0,0
91,Tuesday2,2024-09-17,T,T,0,T,0
92,Tuesday2,2024-09-24,T,0,T,0,0
93,Tuesday2,2024-10-01,T,T,0,T,0
94,Tuesday2,2024-10-08,T,0,T,0,0
